h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-2	1	8	1.3412	0.0	0.0	27.5898	53.6129	0.008	0	[-1.9981  0.9964  8.0133]
-2	1	9	1.2341	5.0119	0.0	30.0	58.5784	0.0736	0	[-1.965   1.0147  8.9389]
-1	0	5	2.1978	2.0597	0.0	18.4183	29.755	0.0	0	[-1.  0.  5.]
-1	0	6	1.9167	7.1169	0.0	19.6503	35.3455	0.0	0	[-1. -0.  6.]
-1	0	7	1.6921	11.6778	0.0	21.3264	41.0427	0.0	0	[-1.  0.  7.]
-1	0	8	1.5108	15.9499	0.0	23.6321	46.8223	0.0	0	[-1. -0.  8.]
-1	0	9	1.3623	20.0615	0.0	26.8817	52.6526	0.0	0	[-1.  0.  9.]
-1	1	7	1.6921	0.0	0.0	0.0	45.8246	0.0938	0	[-0.9571  0.9571  7.1391]
-1	1	8	1.5108	4.0808	0.0	0.0	51.1797	0.0	0	[-1.  1.  8.]
-1	1	9	1.3623	9.3154	0.0	0.0	57.2419	0.0	0	[-1.  1.  9.]
0	-1	7	1.6921	37.0598	0.0	21.3264	41.0427	0.0	0	[ 0. -1.  7.]
0	-1	8	1.5108	38.2441	0.0	23.6321	46.8223	0.0	0	[-0. -1.  8.]
0	-1	9	1.3623	39.9309	0.0	26.8817	52.6526	0.0	0	[ 0. -1.  9.]
0	0	1	12.991	2.8792	0.0	0.0	5.7584	0.0	0	[-0.  0.  1.]
0	0	2	6.4955	5.7658	0.0	0.0	11.5315	0.0	0	[-0.  0.  2.]
0	0	3	4.3303	8.6671	0.0	0.0	17.3341	0.0	0	[-0.  0.  3.]
0	0	4	3.2477	11.591	0.0	0.0	23.1819	0.0	0	[-0.  0.  4.]
0	0	5	2.5982	14.5458	0.0	0.0	29.0916	0.0	0	[-0.  0.  5.]
0	0	6	2.1652	17.5408	0.0	0.0	35.0816	0.0	0	[ 0. -0.  6.]
0	0	7	1.8559	20.5862	0.0	0.0	41.1723	0.0	0	[-0.  0.  7.]
0	0	8	1.6239	23.6937	0.0	0.0	47.3873	0.0	0	[ 0. -0.  8.]
0	0	9	1.4434	26.877	0.0	0.0	53.7541	0.0	0	[-0.  0.  9.]
1	-1	8	1.5108	47.0988	0.0	0.0	51.1797	0.0	0	[ 1. -1.  8.]
1	-1	9	1.3623	47.9265	0.0	0.0	57.2419	0.0	0	[ 1. -1.  9.]
