h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-1	-2	3	1.0525	0.0	0.0	29.9216	64.7846	0.0123	0	[-0.9968 -1.9991  3.007 ]
-1	-1	3	1.1878	4.7459	0.0	0.0	59.6118	0.0	0	[-1. -1.  3.]
0	-1	2	1.7624	1.3339	0.0	15.2894	36.4847	0.0	0	[-0. -1.  2.]
0	-1	3	1.2471	15.8741	0.0	21.0202	53.7672	0.0	0	[-0. -1.  3.]
0	0	1	3.9518	8.5922	0.0	0.0	17.1843	0.0	0	[-0. -0.  1.]
0	0	2	1.9759	17.3856	0.0	0.0	34.7711	0.0	0	[0. 0. 2.]
0	0	3	1.3173	26.6283	0.0	0.0	53.2566	0.0	0	[0. 0. 3.]
1	-1	2	1.6115	26.6323	0.0	30.0	32.2683	0.0069	0	[ 0.997  -0.997   1.9988]
1	0	3	1.2523	42.1844	0.0	20.8919	53.5204	0.0	0	[1. 0. 3.]
1	1	3	1.1968	54.8224	0.0	0.0	59.1172	0.0	0	[1. 1. 3.]
