h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-1	-1	2	1.4619	0.0	0.0	26.1954	41.4402	0.0189	0	[-0.9927 -1.0036  2.0071]
-1	-1	3	1.0797	16.5599	0.0	39.361	58.6726	0.0	0	[-1. -1.  3.]
-1	0	3	1.1324	12.989	0.0	0.0	62.8479	0.0	0	[-1. -0.  3.]
0	-1	1	2.5321	19.253	0.0	20.3028	18.1375	0.0	0	[-0. -1.  1.]
0	-1	2	1.6015	24.3416	0.0	24.3625	36.9313	0.0	0	[-0. -1.  2.]
0	-1	3	1.1324	33.3374	0.0	35.8501	55.7353	0.0	0	[-0. -1.  3.]
0	0	1	3.581	9.4897	0.0	0.0	18.9794	0.0	0	[ 0. -0.  1.]
0	0	2	1.7905	19.253	0.0	0.0	38.5061	0.0	0	[-0. -0.  2.]
0	0	3	1.1937	29.6441	0.0	0.0	59.2882	0.0	0	[ 0. -0.  3.]
1	-1	1	2.0675	65.4716	0.0	21.5044	25.9046	0.0	0	[ 1. -1.  1.]
1	-1	2	1.4619	52.8218	0.0	26.0755	41.395	0.0	0	[ 1. -1.  2.]
1	-1	3	1.0797	53.4298	0.0	39.361	58.6726	0.0	0	[ 1. -1.  3.]
1	0	1	2.5321	58.4833	0.0	0.0	26.9666	0.0	0	[ 1. -0.  1.]
1	0	2	1.6015	48.1981	0.0	0.0	43.2662	0.0	0	[ 1. -0.  2.]
1	0	3	1.1324	49.8589	0.0	0.0	62.8479	0.0	0	[ 1. -0.  3.]
2	-1	1	1.4619	89.6917	0.0	26.0755	41.395	0.0	0	[ 2. -1.  1.]
2	-1	2	1.1937	76.6423	0.0	32.8479	52.5609	0.0	0	[ 2. -1.  2.]
2	0	1	1.6015	85.068	0.0	0.0	43.2662	0.0	0	[ 2. -0.  1.]
2	0	2	1.2661	72.7959	0.0	0.0	55.5919	0.0	0	[ 2. -0.  2.]
3	-1	1	1.0797	106.5599	0.0	39.361	58.6726	0.0	0	[ 3. -1.  1.]
3	0	1	1.1324	102.989	0.0	0.0	62.8479	0.0	0	[ 3. -0.  1.]
