h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
0	0	4	1.8553	20.5929	0.0	0.0	41.1858	0.0	0	[-0. -0.  4.]
0	0	2	3.7105	20.0	0.0	0.0	20.5919	0.2901	0	[0.177  0.     2.0036]
0	0	6	1.2369	25.0	0.0	0.0	59.9136	0.5066	0	[-0.2535  0.      5.6576]
1	0	4	1.67	25.0	0.0	0.0	37.6941	1.3384	0	[0.2034 0.     3.6526]
0	1	4	1.67	25.0	60.0	0.0	37.6933	1.3384	0	[0.     0.2034 3.6526]
1	0	2	2.6661	25.0	0.0	0.0	21.7456	1.1977	0	[0.2705 0.     2.0803]
0	1	2	2.6661	25.0	60.0	0.0	21.7456	1.1977	0	[0.     0.2705 2.0803]
1	1	0	2.2132	25.0	30.0015	0.0	9.2249	2.6698	0	[0.095  0.095  0.8572]
2	0	0	1.9167	25.0	0.0	0.0	10.0902	3.0933	0	[0.1763 0.     0.94  ]
1	-1	0	3.8334	20.0	39.1735	19.5024	0.0	0.0951	0	[ 0.9933 -0.9933  0.1116]
1	1	2	1.9008	25.0	30.0025	0.0	22.2863	2.396	0	[0.157  0.157  2.1339]
0	0	8	0.9276	25.0	0.0	0.0	60.0	2.0213	0	[-0.256  -0.      5.6646]
1	0	6	1.1771	25.0	0.0	0.0	51.9017	1.9164	0	[-0.0427  0.      4.9759]
0	1	6	1.1771	25.0	0.0	0.0	55.438	1.8568	0	[-0.1296 -0.      5.2838]
2	0	2	1.7029	25.0	0.0	0.0	22.4426	2.8347	0	[0.2723 0.     2.1494]
1	1	4	1.4218	25.0	29.9954	0.0	35.6316	2.5137	0	[0.1298 0.1298 3.4522]
2	1	0	1.4489	25.0	19.1056	0.0001	11.837	4.1203	0	[0.1497 0.0748 1.1082]
1	-1	2	2.6661	24.9257	24.7181	21.0645	19.4007	0.0	0	[ 1. -1.  2.]
0	2	0	1.9167	25.0	59.9998	0.0	10.0902	3.0933	0	[0.     0.1763 0.94  ]
0	0	10	0.7421	25.0	0.0	0.0	60.0	3.6945	0	[-0.256   0.      5.6646]
2	0	4	1.3331	25.0	0.0	0.0	35.0337	2.9458	0	[0.2303 0.     3.3938]
1	0	8	0.9016	25.0	0.0	0.0	60.0	2.8544	0	[-0.256  -0.      5.6646]
0	1	8	0.9016	25.0	0.0	0.0	60.0	2.7313	0	[-0.256  -0.      5.6646]
2	2	0	1.1066	25.0	29.9941	0.0002	13.5445	5.4309	0	[0.1251 0.1251 1.2738]
3	0	0	1.2778	25.0	0.0	0.0	12.634	4.6866	0	[0.2071 0.     1.1854]
1	1	6	1.0797	25.0	60.0	16.1697	47.9084	2.7901	0	[ 0.6331 -0.3436  4.6803]
1	0	10	0.7286	25.0	0.0	0.0	60.0	4.2085	0	[-0.256  -0.      5.6646]
0	1	10	0.7286	25.0	0.0	0.0	60.0	4.126	0	[-0.256  -0.      5.6646]
1	-1	4	1.67	24.872	31.7646	26.1002	39.3308	0.0	0	[ 1. -1.  4.]
2	0	6	1.0393	25.0	0.0	0.0	46.7289	3.4116	0	[0.0665 0.     4.5082]
2	1	2	1.3496	25.0	19.1118	0.0	22.7545	3.8922	0	[0.2063 0.1032 2.1803]
1	2	0	1.4489	25.0	40.8939	0.0	11.8371	4.1203	0	[0.0748 0.1497 1.1082]
1	1	-2	1.9008	20.0	0.0	0.0	0.0	3.3056	0	[0. 0. 0.]
0	2	2	1.7029	25.0	60.0	0.0	22.4426	2.8347	0	[0.     0.2723 2.1494]
0	0	12	0.6184	25.0	0.0	0.0	60.0	5.3803	0	[-0.256   0.      5.6646]
1	0	12	0.6105	25.0	0.0	0.0	60.0	5.7454	0	[-0.256  -0.      5.6646]
0	1	12	0.6105	25.0	0.0	0.0	60.0	5.6853	0	[-0.256  -0.      5.6646]
2	0	8	0.835	25.0	0.0	0.0	56.8026	4.1771	0	[-0.1658  0.      5.3997]
1	2	2	1.3496	25.0	40.8953	0.0	22.7539	3.8922	0	[0.1032 0.2063 2.1803]
2	1	4	1.1419	25.0	19.1034	0.0	33.8331	3.9899	0	[0.1817 0.0908 3.2763]
3	0	2	1.2082	25.0	0.0	0.0	22.8944	4.4724	0	[0.2732 0.     2.1942]
2	0	-2	1.7029	20.0	0.0	0.0	0.0	3.6897	0	[0. 0. 0.]
1	-1	6	1.1771	24.0484	60.0	30.0	60.0	0.2701	0	[ 0.8479 -0.9082  5.8108]
0	2	4	1.3331	25.0	60.0	0.0	35.0338	2.9458	0	[0.     0.2303 3.3938]
1	0	-2	2.6661	20.0	0.0	0.0	0.0	2.3567	0	[0. 0. 0.]
0	0	-4	1.8553	20.0	0.0	0.0	0.0	3.3867	0	[0. 0. 0.]
0	0	-2	3.7105	20.0	0.0	0.0	0.0	1.6933	0	[0. 0. 0.]
0	0	-6	1.2369	20.0	0.0	0.0	0.0	5.08	0	[0. 0. 0.]
1	0	-4	1.67	20.0	0.0	0.0	0.0	3.7624	0	[0. 0. 0.]
0	1	-4	1.67	20.0	0.0	0.0	0.0	3.7624	0	[0. 0. 0.]
1	0	-2	2.6661	20.0	0.0	0.0	0.0	2.3567	0	[0. 0. 0.]
0	1	-2	2.6661	20.0	0.0	0.0	0.0	2.3567	0	[0. 0. 0.]
1	1	0	2.2132	25.0	30.0015	0.0	9.2249	2.6698	0	[0.095  0.095  0.8572]
2	0	0	1.9167	25.0	0.0	0.0	10.0902	3.0933	0	[0.1763 0.     0.94  ]
1	-1	0	3.8334	20.0	39.1735	19.5024	0.0	0.0951	0	[ 0.9933 -0.9933  0.1116]
1	1	-2	1.9008	20.0	0.0	0.0	0.0	3.3056	0	[0. 0. 0.]
0	0	-8	0.9276	20.0	0.0	0.0	0.0	6.7733	0	[0. 0. 0.]
1	0	-6	1.1771	20.0	0.0	0.0	0.0	5.3379	0	[0. 0. 0.]
0	1	-6	1.1771	20.0	0.0	0.0	0.0	5.3379	0	[0. 0. 0.]
2	0	-2	1.7029	20.0	0.0	0.0	0.0	3.6897	0	[0. 0. 0.]
1	1	-4	1.4218	20.0	0.0	0.0	0.0	4.4192	0	[0. 0. 0.]
2	1	0	1.4489	25.0	19.1056	0.0001	11.837	4.1203	0	[0.1497 0.0748 1.1082]
1	-1	-2	2.6661	20.0	38.1876	17.4092	0.0	1.7783	0	[ 0.8879 -0.8878  0.0891]
0	2	0	1.9167	25.0	59.9998	0.0	10.0902	3.0933	0	[0.     0.1763 0.94  ]
0	0	-10	0.7421	20.0	0.0	0.0	0.0	8.4666	0	[0. 0. 0.]
2	0	-4	1.3331	20.0	0.0	0.0	0.0	4.7134	0	[0. 0. 0.]
1	0	-8	0.9016	20.0	0.0	0.0	0.0	6.9688	0	[0. 0. 0.]
0	1	-8	0.9016	20.0	0.0	0.0	0.0	6.9688	0	[0. 0. 0.]
2	2	0	1.1066	25.0	29.9941	0.0002	13.5445	5.4309	0	[0.1251 0.1251 1.2738]
3	0	0	1.2778	25.0	0.0	0.0	12.634	4.6866	0	[0.2071 0.     1.1854]
1	1	-6	1.0797	20.0	0.0	0.0	0.0	5.8194	0	[0. 0. 0.]
1	0	-10	0.7286	20.0	0.0	0.0	0.0	8.6238	0	[0. 0. 0.]
0	1	-10	0.7286	20.0	0.0	0.0	0.0	8.6238	0	[0. 0. 0.]
1	-1	-4	1.67	20.0	37.3952	15.7219	0.0	3.4634	0	[ 0.8026 -0.8025  0.0728]
2	0	-6	1.0393	20.0	0.0	0.0	0.0	6.0459	0	[0. 0. 0.]
2	1	-2	1.3496	20.0	0.0	0.0	0.0	4.6555	0	[0. 0. 0.]
