h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
0	-1	4	1.67	1.6261	27.0	14.9463	44.0325	0.0	0	[ 0. -1.  4.]
0	-1	5	1.3841	10.7514	27.0	18.4606	54.156	0.0	0	[-0. -1.  5.]
0	0	1	7.4211	5.0446	27.0	0.0	10.0892	0.0	0	[0. 0. 1.]
0	0	2	3.7105	10.1289	27.0	0.0	20.2578	0.0	0	[0. 0. 2.]
0	0	3	2.4737	15.2953	27.0	0.0	30.5907	0.0	0	[0. 0. 3.]
0	0	4	1.8553	20.5929	27.0	0.0	41.1858	0.0	0	[0. 0. 4.]
0	0	5	1.4842	26.082	27.0	0.0	52.1641	0.0	0	[0. 0. 5.]
1	-1	3	2.0785	23.8617	27.0	22.9511	29.3209	0.0	0	[ 1. -1.  3.]
1	-1	4	1.67	27.171	27.0	26.0799	39.343	0.0	0	[ 1. -1.  4.]
1	0	5	1.3841	47.5836	27.0	15.5503	54.7916	0.0	0	[ 1. -0.  5.]
