h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-3	-3	-1	1.2582	0.0	0.0	0.0	61.9234	0.0839	0	[-2.955  -2.955  -0.9249]
-2	-2	0	1.3374	6.7604	0.0	0.0	57.3574	0.0	0	[-2. -2. -0.]
-2	-2	1	0.9134	29.8688	0.0	0.0	89.2788	0.0	0	[-2. -2.  1.]
-1	-2	0	1.5566	6.2682	0.0	31.3651	39.3817	0.0	0	[-1. -2.  0.]
-1	-1	1	1.3787	16.6504	0.0	0.0	55.4873	0.0	0	[-1. -1.  1.]
-1	-1	2	0.9211	36.7866	0.0	0.0	88.3438	0.0	0	[-1. -1.  2.]
0	-1	0	2.7403	5.2905	0.0	24.3174	12.3215	0.0	0	[ 0. -1.  0.]
0	-1	1	1.5953	20.2953	0.0	30.7468	38.102	0.0	0	[-0. -1.  1.]
0	0	1	2.7403	13.5453	0.0	0.0	27.0906	0.0	0	[0. 0. 1.]
0	0	2	1.3701	27.9323	0.0	0.0	55.8646	0.0	0	[0. 0. 2.]
0	0	3	0.9134	44.6394	0.0	0.0	89.2788	0.0	0	[-0. -0.  3.]
1	0	2	1.5566	35.3342	0.0	31.3651	39.3817	0.0	0	[ 1. -0.  2.]
1	1	3	1.3143	39.7995	0.0	0.0	58.4608	0.0	0	[1. 1. 3.]
2	2	4	1.2265	51.5714	0.0	0.0	63.1032	0.0	0	[2. 2. 4.]
3	3	5	1.125	62.8845	0.0	0.0	69.5703	0.0	0	[3. 3. 5.]
4	4	6	1.0232	73.6804	0.0	0.0	77.6958	0.0	0	[4. 4. 6.]
5	5	7	0.9286	84.1103	0.0	0.0	87.4485	0.0	0	[5. 5. 7.]
