h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
1	1	0	3.7983	0.0002	0.0	0.0	5.0928	1.5977	0	[0.9838 0.     0.0228]
2	0	2	2.9527	0.0	0.0	0.0	22.7505	1.4051	0	[4.0983 0.     0.4485]
1	-1	0	3.7983	41.4758	0.0	19.4256	3.829	0.0	0	[ 1. -1. -0.]
4	0	-2	3.0063	65.5912	0.0	0.0	25.0728	0.0	0	[ 4. -0. -2.]
2	0	0	7.3213	5.1136	0.0	0.0	10.2271	0.0	0	[ 2. -0. -0.]
5	1	-2	2.1965	59.0112	0.0	0.0	28.5331	1.5976	0	[ 5. -0. -2.]
5	-1	-2	2.1965	65.731	0.0	21.9481	27.3982	0.0	0	[ 5. -1. -2.]
6	0	0	2.4404	15.509	0.0	0.0	31.0181	0.0	0	[ 6. -0. -0.]
3	1	2	2.1684	0.0	0.0	0.0	29.0666	2.0085	0	[ 5.0614 -0.      0.726 ]
1	-1	-2	2.7181	0.0	0.0	13.8402	0.0	1.8645	0	[-0.0897 -0.7209  0.1674]
3	-1	2	2.1684	0.0	0.0	26.937	26.3596	0.8785	0	[ 4.3596 -1.2232  1.1597]
1	1	-2	2.7181	0.0	0.0	0.0	0.0	2.3116	0	[0. 0. 0.]
2	0	-4	1.8805	0.0	0.0	0.0	0.0	3.3413	0	[0. 0. 0.]
3	-1	0	3.0624	19.853	0.0	20.0513	14.5662	0.0	0	[ 3. -1. -0.]
3	1	0	3.0624	7.6831	0.0	0.0	15.3663	1.5976	0	[ 3. -0.  0.]
4	0	0	3.6606	10.2684	0.0	0.0	20.5369	0.0	0	[ 4. -0.  0.]
7	1	0	1.8468	18.1777	0.0	0.0	36.3543	1.5976	0	[ 7. -0. -0.]
7	-1	0	1.8468	23.5909	0.0	23.8585	34.8736	0.0	0	[ 7. -1.  0.]
0	2	0	1.9665	0.0	0.0	0.0	0.0	3.1952	0	[0. 0. 0.]
0	-2	0	1.9665	0.0	0.0	33.5715	0.0	0.9638	0	[-0.5156 -1.6664  0.9615]
6	0	-2	2.3318	54.5594	0.0	0.0	32.5024	0.0	0	[ 6. -0. -2.]
2	2	2	1.6367	0.0	0.0	0.0	22.7498	3.4905	0	[ 4.0982 -0.      0.4485]
4	2	-2	1.6457	65.5867	0.0	0.0	25.0728	3.1952	0	[ 4.0002 -0.     -1.9999]
2	-2	2	1.6367	0.0	0.0	45.4625	16.3893	0.1419	0	[ 2.1545 -2.0607  1.8857]
4	-2	-2	1.6457	99.4719	0.0	44.0721	17.4145	0.0	0	[ 4. -2. -2.]
8	0	0	1.8303	20.8867	0.0	0.0	41.7733	0.0	0	[ 8. -0.  0.]
1	1	2	2.5371	0.0	0.0	0.0	15.7946	2.2238	0	[ 2.9371 -0.      0.2176]
1	-1	2	2.5371	0.0	0.0	26.9375	14.1531	1.1773	0	[ 2.3243 -1.3237  0.7814]
6	0	-1	2.5246	34.5871	0.0	0.0	29.9598	0.0	0	[ 6. -0. -1.]
4	0	1	2.9664	0.0	0.0	0.0	26.0672	0.3846	0	[4.6157 0.     0.5864]
2	0	-2	3.6592	86.8708	0.0	0.0	20.5453	0.0	0	[ 2. -0. -2.]
3	1	-4	1.6885	104.1616	0.0	0.0	40.8569	1.5976	0	[ 3. -0. -4.]
3	-1	-4	1.6885	109.0679	0.0	25.323	39.1193	0.0	0	[ 3. -1. -4.]
4	0	2	2.2901	0.0	0.0	0.0	34.6955	0.9904	0	[5.8367 0.     1.025 ]
0	0	3	2.4176	0.0	0.0	0.0	16.6462	2.4045	0	[3.0844 0.     0.2416]
3	1	-2	2.5595	74.8188	0.0	0.0	22.3234	1.5976	0	[ 3. -0. -2.]
3	-1	-2	2.5595	83.2779	0.0	20.8783	21.3877	0.0	0	[ 3. -1. -2.]
2	2	-4	1.3591	0.0	0.0	0.0	0.0	4.6231	0	[0. 0. 0.]
2	-2	-4	1.3591	0.0	0.0	21.3968	0.0	3.9448	0	[-0.2131 -1.0994  0.3973]
6	2	0	1.5312	15.5095	0.0	0.0	31.0191	3.1952	0	[ 6.0002 -0.     -0.    ]
