h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
1	1	0	3.798277	55.100598	-337.212869	341.685	23.40166	100	2	1	1
2	0	2	2.95265	-438.737746	-55.431111	442.226	30.24493	97.32845	2	1	1
1	-1	0	3.798277	-29.880007	335.630795	336.958	23.40166	97.25243	2	1	1
4	0	-2	3.00631	-428.943733	-53.346584	432.248	29.69256	96.73239	2	1	1
2	0	0	7.321296	102.760769	-1.274156	102.769	12.07889	35.1428	2	1	1
5	1	-2	2.196513	-53.638337	360.012875	363.987	41.05912	33.78651	2	1	1
5	-1	-2	2.196513	55.098731	-355.093579	359.343	41.05912	32.92989	2	1	1
6	0	0	2.440432	307.579963	36.550913	309.744	36.79883	31.18843	2	1	1
3	1	2	2.168392	-50.783756	328.877133	332.775	41.61613	27.40311	2	1	1
1	-1	-2	2.718148	-103.705423	232.560408	254.635	32.92529	26.87083	2	1	1
3	-1	2	2.168392	48.555204	-324.786676	328.396	41.61613	26.68669	2	1	1
1	1	-2	2.718148	-15.443375	-246.824008	247.307	32.92529	25.34634	2	1	1
2	0	-4	1.880474	358.25455	56.580228	362.695	48.36305	23.19556	2	1	1
3	-1	0	3.062426	96.262711	-183.527311	207.241	29.13631	23.15356	2	1	1
3	1	0	3.062426	24.065788	196.800708	198.267	29.13631	21.19173	2	1	1
4	0	0	3.660648	-145.408561	-36.051674	149.811	24.29467	17.77329	2	1	1
7	1	0	1.846824	54.736688	-317.943013	322.62	49.30231	17.56771	2	1	1
7	-1	0	1.846824	-45.439017	314.64804	317.912	49.30231	17.0587	2	1	1
0	2	0	1.96645	-400.833061	-60.46095	405.367	46.12305	16.13213	1	1	1
0	-2	0	1.96645	-391.15324	-54.626203	394.949	46.12305	15.31358	1	1	1
6	0	-2	2.331785	-221.320879	-24.320489	222.653	38.57958	14.51983	2	1	1
2	2	2	1.636693	319.158449	52.144397	323.39	56.15197	13.12854	2	1	1
4	2	-2	1.645662	310.544694	53.765935	315.165	55.81909	12.63853	2	1	1
2	-2	2	1.636693	311.104464	46.947252	314.627	56.15197	12.42666	2	1	1
4	-2	-2	1.645662	303.683797	41.582776	306.517	55.81909	11.95452	2	1	1
8	0	0	1.830324	264.277852	35.00552	266.586	49.77684	11.7366	2	1	1
