h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-1	-1	2	1.5918	0.0	0.0	26.1415	41.3858	0.0199	0	[-0.9917 -1.0041  2.0082]
-1	-1	3	1.1756	16.4961	0.0	39.1838	58.5961	0.0	0	[-1. -1.  3.]
-1	0	3	1.233	12.9333	0.0	0.0	62.7365	0.0	0	[-1. -0.  3.]
0	-1	1	2.757	19.2212	0.0	20.2659	18.1113	0.0	0	[ 0. -1.  1.]
0	-1	2	1.7437	24.3004	0.0	24.3027	36.8767	0.0	0	[-0. -1.  2.]
0	-1	3	1.233	33.2774	0.0	35.7041	55.6592	0.0	0	[-0. -1.  3.]
0	0	1	3.899	9.4745	0.0	0.0	18.9489	0.0	0	[ 0. -0.  1.]
0	0	2	1.9495	19.2212	0.0	0.0	38.4424	0.0	0	[ 0. -0.  2.]
0	0	3	1.2997	29.5922	0.0	0.0	59.1845	0.0	0	[ 0. -0.  3.]
1	-1	1	2.2511	65.4376	0.0	21.4612	25.8664	0.0	0	[ 1. -1.  1.]
1	-1	2	1.5918	52.7768	0.0	26.0048	41.3342	0.0	0	[ 1. -1.  2.]
1	-1	3	1.1756	53.366	0.0	39.1837	58.5961	0.0	0	[ 1. -1.  3.]
1	0	1	2.757	58.4614	0.0	0.0	26.9229	0.0	0	[ 1. -0.  1.]
1	0	2	1.7437	48.162	0.0	0.0	43.1939	0.0	0	[ 1. -0.  2.]
1	0	3	1.233	49.8032	0.0	0.0	62.7365	0.0	0	[ 1. -0.  3.]
2	-1	1	1.5918	89.6467	0.0	26.0048	41.3342	0.0	0	[ 2. -1.  1.]
2	-1	2	1.2997	76.5861	0.0	32.727	52.487	0.0	0	[ 2. -1.  2.]
2	0	1	1.7437	85.0319	0.0	0.0	43.1939	0.0	0	[ 2. -0.  1.]
2	0	2	1.3785	72.7479	0.0	0.0	55.4958	0.0	0	[ 2. -0.  2.]
3	-1	1	1.1756	106.4961	0.0	39.1837	58.5961	0.0	0	[ 3. -1.  1.]
3	0	1	1.233	102.9333	0.0	0.0	62.7365	0.0	0	[ 3. -0.  1.]
