h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
-1	0	-1	3.405	0.0	0.0	22.2367	0.0	0.0652	0	[-1.0137 -0.     -0.8493]
-1	1	-1	3.291	0.0	0.0	22.2367	5.8878	0.04	0	[-1.0084  1.0084 -0.9081]
-1	1	0	3.3729	45.4016	0.0	21.975	3.9548	0.0	0	[-1.  1. -0.]
-1	1	1	3.3032	75.2736	0.0	22.0439	5.9248	0.0	0	[-1.  1.  1.]
-1	1	2	3.1072	85.3717	0.0	22.2655	9.8524	0.0	0	[-1.  1.  2.]
-1	1	3	2.8435	90.838	0.0	22.6489	14.2034	0.0	0	[-1.  1.  3.]
-1	1	4	2.5653	94.8711	0.0	23.2098	18.6927	0.0	0	[-1.  1.  4.]
-1	1	5	2.3038	98.3091	0.0	23.9728	23.2487	0.0	0	[-1.  1.  5.]
-1	1	6	2.0715	101.457	0.0	24.9736	27.8461	0.0	0	[-1.  1.  6.]
-1	1	7	1.8704	104.4532	0.0	26.2631	32.4721	0.0	0	[-1.  1.  7.]
-1	1	8	1.698	107.3717	0.0	27.9146	37.1164	0.0	0	[-1.  1.  8.]
-1	1	9	1.5505	110.2426	0.0	30.0	41.7638	0.0019	0	[-0.999   0.9998  8.9984]
-1	2	-1	3.0075	2.0598	0.0	22.3972	11.549	0.0	0	[-1.  2. -1.]
-1	2	0	3.0696	25.3981	0.0	22.3135	10.5046	0.0	0	[-1.  2. -0.]
-1	2	1	3.0168	46.8056	0.0	22.3844	11.3955	0.0	0	[-1.  2.  1.]
-1	2	2	2.8653	62.1955	0.0	22.6126	13.8553	0.0	0	[-1.  2.  2.]
-1	2	3	2.6546	72.7026	0.0	23.0075	17.2301	0.0	0	[-1.  2.  3.]
-1	2	4	2.424	80.3064	0.0	23.5855	21.092	0.0	0	[-1.  2.  4.]
-1	2	5	2.1999	86.2524	0.0	24.3723	25.2255	0.0	0	[-1.  2.  5.]
-1	2	6	1.995	91.2186	0.0	25.4051	29.523	0.0	0	[-1.  2.  6.]
-1	2	7	1.8135	95.5803	0.0	26.7375	33.9259	0.0	0	[-1.  2.  7.]
-1	2	8	1.6551	99.5568	0.0	28.4459	38.3969	0.0	0	[-1.  2.  8.]
-1	2	9	1.5176	103.0072	0.0	30.0	42.8707	0.0352	0	[-0.9816  1.9935  8.97  ]
-1	3	-1	2.6637	6.332	0.0	22.9881	17.0823	0.0	0	[-1.  3. -1.]
-1	3	0	2.7066	21.7417	0.0	22.9002	16.3916	0.0	0	[-1.  3.  0.]
-1	3	1	2.6701	36.9345	0.0	22.9747	16.9785	0.0	0	[-1.  3.  1.]
-1	3	2	2.5634	50.1555	0.0	23.2145	18.7247	0.0	0	[-1.  3.  2.]
-1	3	3	2.4092	60.9197	0.0	23.6296	21.3517	0.0	0	[-1.  3.  3.]
-1	3	4	2.2329	69.5863	0.0	24.2378	24.5841	0.0	0	[-1.  3.  4.]
-1	3	5	2.054	76.7043	0.0	25.0666	28.2204	0.0	0	[-1.  3.  5.]
-1	3	6	1.8843	82.7348	0.0	26.1561	32.1282	0.0	0	[-1.  3.  6.]
-1	3	7	1.7292	88.009	0.0	27.5642	36.2216	0.0	0	[-1.  3.  7.]
-1	3	8	1.5902	92.7558	0.0	29.3737	40.4407	0.0	0	[-1.  3.  8.]
-1	3	9	1.4671	96.4366	0.0	30.0	44.6444	0.0906	0	[-0.9529  2.975   8.9233]
-1	4	-2	2.2584	0.0	0.0	24.2258	24.0978	0.0162	0	[-1.0034  4.0135 -1.9663]
-1	4	-1	2.3346	10.0015	0.0	23.8666	22.6838	0.0	0	[-1.  4. -1.]
-1	4	0	2.3633	21.5196	0.0	23.7723	22.1658	0.0	0	[-1.  4.  0.]
-1	4	1	2.339	33.1688	0.0	23.8522	22.6054	0.0	0	[-1.  4.  1.]
-1	4	2	2.2662	44.102	0.0	24.1096	23.9508	0.0	0	[-1.  4.  2.]
-1	4	3	2.1576	53.8505	0.0	24.5557	26.065	0.0	0	[-1.  4.  3.]
-1	4	4	2.0282	62.3349	0.0	25.2099	28.7831	0.0	0	[-1.  4.  4.]
-1	4	5	1.8913	69.6978	0.0	26.1029	31.955	0.0	0	[-1.  4.  5.]
-1	4	6	1.7563	76.1516	0.0	27.2794	35.4616	0.0	0	[-1.  4.  6.]
-1	4	7	1.6287	81.9007	0.0	28.8037	39.2123	0.0	0	[-1.  4.  7.]
-1	4	8	1.5111	86.7854	0.0	30.0	43.0945	0.0421	0	[-0.978   3.9844  7.9681]
-1	5	-2	1.997	4.9448	0.0	25.3928	29.4771	0.0	0	[-1.  5. -2.]
-1	5	-1	2.0491	13.4493	0.0	25.0932	28.3262	0.0	0	[-1.  5. -1.]
-1	5	0	2.0685	22.6476	0.0	24.9895	27.911	0.0	0	[-1.  5.  0.]
-1	5	1	2.0521	32.0647	0.0	25.0773	28.2631	0.0	0	[-1.  5.  1.]
-1	5	2	2.0024	41.2382	0.0	25.3603	29.3556	0.0	0	[-1.  5.  2.]
-1	5	3	1.9263	49.8403	0.0	25.851	31.1123	0.0	0	[-1.  5.  3.]
-1	5	4	1.8325	57.7173	0.0	26.5719	33.431	0.0	0	[-1.  5.  4.]
-1	5	5	1.7297	64.8561	0.0	27.558	36.2055	0.0	0	[-1.  5.  5.]
-1	5	6	1.6246	71.3241	0.0	28.8608	39.3391	0.0	0	[-1.  5.  6.]
-1	5	7	1.522	76.9805	0.0	30.0	42.7182	0.0306	0	[-0.984   4.9859  6.9796]
-1	6	-3	1.7191	3.2678	0.0	27.6742	36.5071	0.0	0	[-1.  6. -3.]
-1	6	-2	1.7745	9.6722	0.0	27.0996	34.9657	0.0	0	[-1.  6. -2.]
-1	6	-1	1.8108	16.8134	0.0	26.7617	33.9972	0.0	0	[-1.  6. -1.]
-1	6	0	1.824	24.4696	0.0	26.6448	33.6506	0.0	0	[-1.  6. -0.]
-1	6	1	1.8128	32.3633	0.0	26.7438	33.9445	0.0	0	[-1.  6.  1.]
-1	6	2	1.7783	40.2175	0.0	27.0629	34.8629	0.0	0	[-1.  6.  2.]
-1	6	3	1.7243	47.8096	0.0	27.617	36.3593	0.0	0	[-1.  6.  3.]
-1	6	4	1.6561	54.9992	0.0	28.4329	38.3666	0.0	0	[-1.  6.  4.]
-1	6	5	1.579	61.7264	0.0	29.5519	40.8083	0.0	0	[-1.  6.  5.]
-1	6	6	1.4979	67.5531	0.0	30.0	43.5513	0.0562	0	[-0.9707  5.9688  5.9678]
-1	7	-4	1.4969	3.0547	0.0	30.0	43.5872	0.0573	0	[-0.9701  6.9629 -3.9798]
-1	7	-3	1.5479	8.3947	0.0	30.0	41.8483	0.0044	0	[-0.9977  6.9972 -2.9989]
-1	7	-2	1.5879	14.0161	0.0	29.4097	40.5155	0.0	0	[-1.  7. -2.]
-1	7	-1	1.6138	20.1609	0.0	29.0173	39.6823	0.0	0	[-1.  7. -1.]
-1	7	0	1.6232	26.717	0.0	28.8817	39.3853	0.0	0	[-1.  7. -0.]
-1	7	1	1.6152	33.5084	0.0	28.9965	39.637	0.0	0	[-1.  7.  1.]
-1	7	2	1.5907	40.3573	0.0	29.3671	40.4269	0.0	0	[-1.  7.  2.]
-1	7	3	1.5517	47.1043	0.0	30.0	41.7232	0.0006	0	[-0.9997  6.9996  2.9998]
-1	7	4	1.5014	53.2437	0.0	30.0	43.4281	0.0524	0	[-0.9727  6.9661  3.9797]
0	1	0	12.829	2.9156	0.0	0.0	5.8312	0.0	0	[-0.  1. -0.]
0	1	1	9.919	43.1324	0.0	0.0	7.5441	0.0	0	[0. 1. 1.]
0	1	2	6.6774	64.243	0.0	0.0	11.2164	0.0	0	[0. 1. 2.]
0	1	3	4.8299	75.649	0.0	0.0	15.5296	0.0	0	[0. 1. 3.]
0	1	4	3.7402	83.0973	0.0	0.0	20.0954	0.0	0	[0. 1. 4.]
0	1	5	3.039	88.6963	0.0	0.0	24.7985	0.0	0	[0. 1. 5.]
0	1	6	2.5545	93.3146	0.0	0.0	29.6003	0.0	0	[0. 1. 6.]
0	1	7	2.2012	97.3649	0.0	0.0	34.4892	0.0	0	[0. 1. 7.]
0	1	8	1.9327	101.0678	0.0	0.0	39.4652	0.0	0	[0. 1. 8.]
0	1	9	1.7221	104.553	0.0	0.0	44.5347	0.0	0	[0. 1. 9.]
0	2	0	6.4145	5.8388	0.0	0.0	11.6776	0.0	0	[-0.  2.  0.]
0	2	1	5.9348	28.6124	0.0	0.0	12.6253	0.0	0	[0. 2. 1.]
0	2	2	4.9595	46.921	0.0	0.0	15.1212	0.0	0	[0. 2. 2.]
0	2	3	4.0457	60.1792	0.0	0.0	18.564	0.0	0	[0. 2. 3.]
0	2	4	3.3387	69.9058	0.0	0.0	22.5421	0.0	0	[0. 2. 4.]
0	2	5	2.8116	77.4239	0.0	0.0	26.8407	0.0	0	[0. 2. 5.]
0	2	6	2.4149	83.5612	0.0	0.0	31.354	0.0	0	[0. 2. 6.]
0	2	7	2.11	88.8105	0.0	0.0	36.03	0.0	0	[0. 2. 7.]
0	2	8	1.8701	93.4718	0.0	0.0	40.8445	0.0	0	[0. 2. 8.]
0	2	9	1.6773	97.7358	0.0	0.0	45.789	0.0	0	[0. 2. 9.]
0	3	0	4.2763	8.7774	0.0	0.0	17.5547	0.0	0	[-0.  3. -0.]
0	3	1	4.1249	24.3941	0.0	0.0	18.2044	0.0	0	[0. 3. 1.]
0	3	2	3.752	38.6872	0.0	0.0	20.0317	0.0	0	[0. 3. 2.]
0	3	3	3.3063	50.7431	0.0	0.0	22.7655	0.0	0	[0. 3. 3.]
0	3	4	2.8857	60.6313	0.0	0.0	26.1393	0.0	0	[0. 3. 4.]
0	3	5	2.5247	68.7941	0.0	0.0	29.9579	0.0	0	[0. 3. 5.]
0	3	6	2.2258	75.683	0.0	0.0	34.0963	0.0	0	[0. 3. 6.]
0	3	7	1.9803	81.6529	0.0	0.0	38.4789	0.0	0	[0. 3. 7.]
0	3	8	1.778	86.9622	0.0	0.0	43.062	0.0	0	[0. 3. 8.]
0	3	9	1.61	91.7954	0.0	0.0	47.8225	0.0	0	[0. 3. 9.]
0	4	-1	3.1419	0.3987	0.0	0.0	23.9745	0.0	0	[-0.  4. -1.]
0	4	0	3.2072	11.7394	0.0	0.0	23.4788	0.0	0	[-0.  4.  0.]
0	4	1	3.1419	23.5758	0.0	0.0	23.9745	0.0	0	[0. 4. 1.]
0	4	2	2.9674	35.0034	0.0	0.0	25.4071	0.0	0	[0. 4. 2.]
0	4	3	2.7317	45.4197	0.0	0.0	27.6407	0.0	0	[0. 4. 3.]
0	4	4	2.4798	54.6174	0.0	0.0	30.5141	0.0	0	[0. 4. 4.]
0	4	5	2.2393	62.6579	0.0	0.0	33.8837	0.0	0	[0. 4. 5.]
0	4	6	2.0229	69.7167	0.0	0.0	37.639	0.0	0	[0. 4. 6.]
0	4	7	1.8333	75.988	0.0	0.0	41.702	0.0	0	[0. 4. 7.]
0	4	8	1.6693	81.6454	0.0	0.0	46.0211	0.0	0	[0. 4. 8.]
0	4	9	1.5279	86.8317	0.0	0.0	50.5646	0.0	0	[0. 4. 9.]
0	5	-1	2.532	5.6187	0.0	0.0	29.8702	0.0	0	[-0.  5. -1.]
0	5	0	2.5658	14.7336	0.0	0.0	29.4672	0.0	0	[-0.  5.  0.]
0	5	1	2.532	24.2515	0.0	0.0	29.8702	0.0	0	[0. 5. 1.]
0	5	2	2.4379	33.69	0.0	0.0	31.0507	0.0	0	[0. 5. 2.]
0	5	3	2.3021	42.6708	0.0	0.0	32.9333	0.0	0	[0. 5. 3.]
0	5	4	2.1452	50.9825	0.0	0.0	35.4192	0.0	0	[0. 5. 4.]
0	5	5	1.9838	58.5647	0.0	0.0	38.4086	0.0	0	[0. 5. 5.]
0	5	6	1.8286	65.4541	0.0	0.0	41.8148	0.0	0	[0. 5. 6.]
0	5	7	1.685	71.7349	0.0	0.0	45.5694	0.0	0	[0. 5. 7.]
0	5	8	1.5551	77.5052	0.0	0.0	49.6224	0.0	0	[0. 5. 8.]
0	5	9	1.4388	82.8601	0.0	0.0	53.9396	0.0	0	[0. 5. 9.]
0	6	-2	2.0625	3.153	0.0	0.0	36.8898	0.0	0	[-0.  6. -2.]
0	6	-1	2.1185	10.1559	0.0	0.0	35.881	0.0	0	[-0.  6. -1.]
0	6	0	2.1382	17.7696	0.0	0.0	35.5393	0.0	0	[-0.  6. -0.]
0	6	1	2.1185	25.7251	0.0	0.0	35.881	0.0	0	[0. 6. 1.]
0	6	2	2.0625	33.7368	0.0	0.0	36.8898	0.0	0	[0. 6. 2.]
0	6	3	1.9783	41.5601	0.0	0.0	38.5206	0.0	0	[0. 6. 3.]
0	6	4	1.876	49.0266	0.0	0.0	40.7106	0.0	0	[0. 6. 4.]
0	6	5	1.7652	56.0499	0.0	0.0	43.3912	0.0	0	[0. 6. 5.]
0	6	6	1.6532	62.6092	0.0	0.0	46.4977	0.0	0	[0. 6. 6.]
0	6	7	1.5448	68.7275	0.0	0.0	49.9748	0.0	0	[0. 6. 7.]
0	6	8	1.4428	74.4511	0.0	0.0	53.7789	0.0	0	[0. 6. 8.]
0	6	9	1.3486	79.8364	0.0	0.0	57.8784	0.0	0	[0. 6. 9.]
0	7	-3	1.729	2.8053	0.0	0.0	44.3473	0.0	0	[-0.  7. -3.]
0	7	-2	1.7844	8.2612	0.0	0.0	42.9017	0.0	0	[-0.  7. -2.]
0	7	-1	1.8203	14.3242	0.0	0.0	42.0152	0.0	0	[-0.  7. -1.]
0	7	0	1.8327	20.8582	0.0	0.0	41.7163	0.0	0	[-0.  7. -0.]
0	7	1	1.8203	27.691	0.0	0.0	42.0152	0.0	0	[0. 7. 1.]
0	7	2	1.7844	34.6405	0.0	0.0	42.9017	0.0	0	[0. 7. 2.]
0	7	3	1.729	41.5421	0.0	0.0	44.3473	0.0	0	[0. 7. 3.]
0	7	4	1.6595	48.2686	0.0	0.0	46.3109	0.0	0	[0. 7. 4.]
0	7	5	1.5813	54.7383	0.0	0.0	48.745	0.0	0	[0. 7. 5.]
0	7	6	1.4993	60.9112	0.0	0.0	51.6024	0.0	0	[0. 7. 6.]
0	7	7	1.417	66.7805	0.0	0.0	54.8404	0.0	0	[0. 7. 7.]
0	7	8	1.3371	72.3621	0.0	0.0	58.4237	0.0	0	[0. 7. 8.]
0	8	-5	1.427	0.0693	0.0	0.0	54.4232	0.0	0	[-0.  8. -5.]
0	8	-4	1.4837	3.7922	0.0	0.0	52.184	0.0	0	[-0.  8. -4.]
0	8	-3	1.5328	8.0997	0.0	0.0	50.3945	0.0	0	[-0.  8. -3.]
0	8	-2	1.5709	12.9552	0.0	0.0	49.0876	0.0	0	[-0.  8. -2.]
0	8	-1	1.5953	18.2913	0.0	0.0	48.2909	0.0	0	[-0.  8. -1.]
0	8	0	1.6036	24.0116	0.0	0.0	48.0231	0.0	0	[-0.  8.  0.]
0	8	1	1.5953	29.9996	0.0	0.0	48.2909	0.0	0	[0. 8. 1.]
0	8	2	1.5709	36.1324	0.0	0.0	49.0876	0.0	0	[0. 8. 2.]
0	8	3	1.5328	42.2949	0.0	0.0	50.3945	0.0	0	[0. 8. 3.]
0	8	4	1.4837	48.3918	0.0	0.0	52.184	0.0	0	[0. 8. 4.]
0	8	5	1.427	54.3539	0.0	0.0	54.4232	0.0	0	[0. 8. 5.]
0	8	6	1.3659	60.1383	0.0	0.0	57.0779	0.0	0	[0. 8. 6.]
0	8	7	1.3028	65.6678	0.0	0.0	60.0	0.0085	0	[0.     7.9859 6.9877]
0	9	-5	1.2971	5.5015	0.0	0.0	60.0	0.0296	0	[-0.      8.945  -4.9694]
0	9	-4	1.3392	9.1308	0.0	0.0	58.321	0.0	0	[-0.  9. -4.]
0	9	-3	1.375	13.0407	0.0	0.0	56.6652	0.0	0	[-0.  9. -3.]
0	9	-2	1.4023	17.4012	0.0	0.0	55.463	0.0	0	[-0.  9. -2.]
0	9	-1	1.4196	22.1592	0.0	0.0	54.7333	0.0	0	[-0.  9. -1.]
0	9	0	1.4254	27.2443	0.0	0.0	54.4887	0.0	0	[-0.  9.  0.]
0	9	1	1.4196	32.5742	0.0	0.0	54.7333	0.0	0	[0. 9. 1.]
0	9	2	1.4023	38.0619	0.0	0.0	55.463	0.0	0	[0. 9. 2.]
0	9	3	1.375	43.6245	0.0	0.0	56.6652	0.0	0	[0. 9. 3.]
0	9	4	1.3392	49.1901	0.0	0.0	58.321	0.0	0	[0. 9. 4.]
0	9	5	1.2971	54.4984	0.0	0.0	60.0	0.0296	0	[0.     8.945  4.9694]
